,카페,메뉴,가격,지역,구분
251,커피플랜트,아메리카노,3000,강남구,P
260,커피셀러,아메리카노,3000,강남구,F
265,커피에스페란토,아메리카노,3000,강남구,P
282,커피살롱,아메리카노,3000,강남구,P
287,유로스커피,아메리카노,3000,강남구,P
289,만랩커피 역삼점,스페셜티 커피,2900,강남구,F
296,이디야커피 대치역점,아메리카노,2800,강남구,F
303,바니커피,바니 아메리카노 (hot) L,2800,강남구,P
305,이디야커피 역삼중앙점,아메리카노,2800,강남구,F
56,히얼스유알커피,아메리카노,2800,강남구,P
285,해머스미스커피 논현1호점,고소한 투샷 아메리카노,2500,강남구,P
72,아리스타커피 선릉점,아메리카노,2500,강남구,F
97,해머스미스커피 삼성점,어센틱 아메리카노,2500,강남구,P
146,이디야커피 강남YMCA점,아메리카노 Hot or Ice,2500,강남구,F
185,커피잔,아메리카노,2500,강남구,P
194,웨이크업커피,아메리카노,2500,강남구,P
195,커피쿡 압구정점,아메리카노,2500,강남구,F
205,아리스타커피 역삼초교점,아메리카노,2500,강남구,F
229,슬로우빈커피,아메리카노 Take-out,2500,강남구,P
277,이디야커피신사역점,아이스카푸치노,2200,강남구,F
219,이디야커피 삼성동점,아이스카푸치노,2200,강남구,F
288,에이쓰리커피집,아메리카노 (테이크아웃),1800,강남구,P
253,제이스킹커피,아메리카노,1500,강남구,P
18,커피코트 강남점,드립커피,1000,강남구,F
200,커피코트 선릉 한신인터밸리점,드립커피,1000,강남구,F
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
