,카페,메뉴,가격,지역,구분
171,탐앤탐스커피 올림픽서린점,점심(12시~14시) 아메리카노,2500,강동구,F
203,커피집,아메리카노,2500,강동구,P
225,커피볶는집,아메리카노,2500,강동구,F
286,호야커피,아메리카노,2500,강동구,P
233,콤마스 스페셜티 커피,투샷 아메리카노(HOT/ICE),2500,강동구,P
29,커피수트,아메리카노,2500,강동구,P
31,커피베이 강동강일점,아메리카노,2500,강동구,F
36,콤마스커피,아메리카노,2500,강동구,P
38,조이커피,커피,2500,강동구,P
58,케미커피,아메리카노,2500,강동구,P
60,커피베이 천호로데오점,커피,2500,강동구,F
75,커피사오,아메리카노,2500,강동구,P
87,홀릭커피,수제샌드위치,2500,강동구,P
94,샬롬커피,Ice 아메리카노,2500,강동구,P
103,커피밴드,아메리카노,2500,강동구,P
118,쉼표커피,아메리카노,2500,강동구,P
120,4TENTIAL,아메리카노 HOT & ICE 가져갈 경우,2500,강동구,P
130,커피쓰리타임즈,아메리카노,2500,강동구,P
132,커피충전,아메리카노,2500,강동구,P
140,카페파이나무,호두파이,2500,강동구,P
144,카페번,아메리카노,2500,강동구,P
145,아라로스터스,아메리카노,2500,강동구,P
148,토닥토닥,아메리카노,2500,강동구,P
157,카플플,아메리카노,2500,강동구,P
162,솔트카페,아메리카노,2500,강동구,P
180,갈레카페,커피,2500,강동구,P
197,콩볶는고양이,콩고아메리카노(H/M),2400,강동구,P
210,onebean,바삭 오븐 토스트,2300,강동구,P
251,아리스타커피 길동점,커피,2200,강동구,F
255,20온즈커피,아메리카노,2000,강동구,P
281,커피하나,아메리카노핫/아이스 하나커피(다방커피)핫/아이스,2000,강동구,P
293,탭플레이커피 교보문고천호점,아메리카노H/I re,2000,강동구,F
302,커피가,카페라떼,2000,강동구,P
227,커피에반하다 길동역점,아메리카노,2000,강동구,F
284,찰스상점 길동본점,아메리카노,2000,강동구,P
99,파파커피,아메리카노,2000,강동구,P
121,토우커피,아메리카노,2000,강동구,P
123,블랙루스터커피,콜드브루 아메리카노 (핫/아이스 동일),2000,강동구,P
124,홀릭카페,아메리카노,2000,강동구,P
126,버블티코리아 본사R&D매장,아메리카노 4종 중 선택,2000,강동구,P
133,카페김여사,커피,2000,강동구,P
134,카페비쥬,아메리카노 take-out,2000,강동구,P
154,카페Moon,아메리카노,2000,강동구,P
158,CAFEIN,아메리카노,2000,강동구,P
173,소나기,아메리카노,2000,강동구,P
223,제이에스커피,아메리카노,1500,강동구,P
230,향기나는커피,아메리카노,1500,강동구,P
238,SIX STRINGS,아메리카노 Take Out 최대,1500,강동구,P
253,코스트파이브,아메리카노,1500,강동구,P
294,Coffee3Times,아메리카노 Hot/Ice,1300,강동구,P
303,,,,,
309,,,,,
188,,,,,
193,,,,,
214,,,,,
226,,,,,
254,,,,,
