,title,content
24,국민카드 체크카드 교통대금," 국민카드 체크카드에서 후불 교통카드 기능을 사용하고 있는데 처음에 하루 쓰고 입금을 완료한게 전부이고 그 이후로 대중교통을 탈 때 다른카드를 사용해서 쓴적도 없어요. 근데 갑자기 교통대금 3700원을 내라면서 저번이랑 똑같이 쓴적도 없는 상태에서 다른 가격으로 문자가 오네요. 어떻게 된 일인지 궁금합니다.
 이 국민카드를 해지하고 싶은데 해지하는 방법도 알려주세요."
25,KB 국민카드 체크카드 오배액션,"제가 7월 2일날 카드 발급받고싶어서 직접 매장가서 통장까지 만들고했는데 3주가 지난 지금까지 카드가 안왔어요
친구들 말로는 집에서 아무도 안받아가면 보류(?) 처리가 된다고하던데 어떻게 해야 다시 받을 수 있죠?"
26,국민카드 체크소액결제,체크소액신용결제 돈이 계좌에서 빠져나갔는데 결제예정금액은 왜 그대로인가요???
27,KB국민카드 체크카드 요거 잔액조회 어떻게 하나요?,
28,"국민 노리카드 체크카드를 사용중인데 현재 베트남에 나오게도면서 돈이 부족한 상황이 생겨서요...
따로 국내에서 신청한건 없는데 이 마스터카드 사용이 가능할까요?",
29,국민카드 체크할인,저는 국민 누리카드로 돈을 제일 많이쓰는데 체크할인이 왜 안들어오죠? 제 친구는 자주 들어와요 저만 안들어오네요ㅠ
30,KB nori 국민카드 (체크카드),"저 카드로 atm기에서 현금을 빼려해도 카드읽기오류라거나 불량이라고 해서 계속 넣었는데 안됬었고요
어디 가게에서 카드로 결제할려고 카드를 계속 넣어도 읽어지지가 않는다라고 하더라고요 혹시 카드가 조금 휘어지긴했는데 그것때문인가요 ? 아니면 카드가 이상한걸까요 ㅠㅠ 아니면 아무문제 없는걸까요 ??"
31,학교에서 학생증에 kb국민카드 체크를,"학교에서 kb국민 체크카드 학생증을 발급해주었는데
카드 아래에 pop card ,t money 라고 적혀있던데
이 카드로 얻을수있는 혜택이 무엇무엇 있나요 ? 예를들어 포인트 적립, 대중교통이용시 10%할인 이런거용
있는대로 다 적어주세요!!"
32,국민카드 체크카드 소액결제.,제가 8월1일에 국민은행 체크카드 소액결제 서비스 신청을 했는데요 결제일이 매달 19일이긴한데 8월2일부터 시작해서 지금까지 20만원가량 사용을 했는데 갑자기 19일인 어제 일부인 6만원만 빠져나갔어요.. 왜그러는건지 알 수 있나요 8월에 사용하면 다음달인 9월에 결제가 되는거 아닌가요 아니면 왜 한번에 다 결제되는것이 아닌 일부만 빠져 나간건가요??
33,KB국민카드 체크카드를 마스터카드로 만들엇는데 구글플레이스토어에 카드등록이 안되요,
