,title,content
109,"국민가온올림카드 체크/신용 서비스로 체크카드로도 쓰고, 신용카드로도 쓰고 있었어요
이제 체크/신용 서비스를 해지했는데 그럼 이 카드는 신용카드가 된건가요?
앞으로 사용한 금액은 다음달 결제되는 건가요?",
110,국민은행 통장 기존에 쓰던게 있는데 새로 통장을 만들면 왜 국민카드 체크카드가 기존 통장에서 안나가고 새로 만든통장에서 나가는거죠?,"국민은행 통장 기존에 쓰던게 있는데 새로 통장을 만들면 왜 국민카드 체크카드가 기존 통장에서 안나가고 새로 만든통장에서 나가는거죠?

국민카드 상담사는 원래 시스템이 그렇다는데 원래 다른 은행도 그런가요?

새로 통장 만들면서 새로 체크카드도 만들었는데요 

결국에 새로만든 통장에 체크카드가 두개가 생겨버린 셈인데 이게 원래 시스템이 이런거라면 

그 이유는 뭔지 궁금하네요 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ

국민은행 잘 쓰고 있었는데 상담사들도 너무 딱딱하게 얘기하니까 너무 마음이 아프네요 "
111,"삼성페이를 통해 결제하면
국민체크카드 체크할인이 되지않는다거나
일반 국민체크카드로 혜택이 있는부분이 적용이 안된다거나..
있나요
파인테크체크카드입니다",
112,kb국민 나라사랑카드(체크) 연회비 있나요?,"얼마전 은행가서 체크카드 신청을 했는데
오늘 도착한거 보니까 나라사랑카드가 오더라고요
제 나이가 군대 졸업한지 몇년인데 나라사랑카드라니..
그 약관책자를 읽어보니 연회비 항목이 있던데
제가 알기로 나라사랑 카드는 연회비가 없다고 아는데
이젠 나라사랑카드도 연회비가 나오나요?
아니면 제가 군인 신분이 아니라서 연회비 내야하나요?

아, 그리고 제가 군인 신분이 아닌데
나라사랑카드 할인 혜택들 누릴 수 있나요?
cgv35% 할인이라던가 옥션,g마켓 할인이라던가.."
113,국민 마스터카드(체크) 일본에서 사용 가능한가요?,"아직 미성년자이고 국민은행 체크카드 밑에 마스터카드 모양이 있습니다. 전에 해외직구도 이 카드로 했었던 적 있어서 해외에서 사용가능할 것 같았는데, 인터넷 찾아보니 은행에 전화해서 해외결제 신청해야 한다고그러더라구요 당장 다음주 월요일 출국이라 급합니다 ㅜ ㅜ .. 내공 100드려요

마스터카드모양이 있는 카드 일본에서 사용가능 한가요? (신사이바시 쇼핑거리, 돈키호테 등)"
114,국민은행 울라윤드 티타늄카드 체크결제서비스 신청이 불가능 해요?,
115,카드이름:kb국민카드 체크 나라사랑 후불교통카드로돼어잇는데선불로바꾸는법쫌알려주세요,
116,카드이름:kb국민카드 체크 나라사랑 후불교통카드로돼어잇는데선불로바꾸는법쫌알려주세요,
117,국민카드 체크카드 소액신용결제 질문이욤,교통카드 대금 빠져나갈때 계좌에 돈 없으면 소액신용결제처럼 그냥 빠져나가고 담달에 갚나욤?
118,KB국민카드 체크카드 발급하려고 합니다,"안녕하세요 20살 남성인 대학생입니다

사용 용도는 장학금 + 알바비 + 용돈 받은걸 통장에 넣으려고합니다

물론 종이통장에요


한도 최소 1000만원까지 넣을수있을 금액정도의 통장을 만들려고 하는데 필요한서류가 뭐가 필요한지 알려주시면 감사합니다.

내공100"
119,엄마 몰래 국민카드 체크카드 만든거 들킬것 같아요...,"저는 만18세, 19세인데요...엄마 몰래 국민카드 체크카드 만든거 들킬것 같아서 체크카드랑 체크카드 만들 때 같이 만든 통장 없애려고 하는데... 만약 엄마가 은행에 전화하면 제 기록 볼 수 있나요?? 그리고 없앤것도 기록에 남나요??"
120,"국민카드 나라사랑카드 체크카드 카드비밀번호 앱인증 오류

엘지페이라든지 다른앱 신용카드 등록할때 카드 비밀번호 치라고 할때 틀렸다고 뜨는데 atm기에서 뽑을때 쓰는 카드비밀번호랑 다른건가요?

그저께도 atm기 가서 돈 출금했는데도 앱에서 치면 자꾸 틀렸다고 나오네요. 어떻게 해야 하나요?",
