,content
21,이번에 국민카드랑 신한카드를 신규발급 했는데 발급하고나서 다른분이 대리수령을 해주셨는데 그분이 그 카드를  어디에 뒀는지 몰라서ㅜㅜ 분실했는데 이것도 다시 재발급 신청을 해야하는건가요 아니면 신규가입으로 해야하는건가요
22,이 두 카드사는 왜이리 카드발급 잘 안해주나요 ㅠㅠ 잔고는 없어도 매달 월급통장 으로 국민 이용중 인데 점수부족 해서 안되고 4대보험 안되서 안되고 ㅠㅠ 어차피 네이버랑 114에 등재된 마트 다니는데 이달20일이 3개월 급여 인데 이걸로 카드발급 안되요? 국민 이나 롯데 만들고 싶어요 ㅠㅠ 삼성 현대 하나카드는 잇습니당
23,"제가 쏠 딥 드림 체크카드랑 국민 노리 체크카드가 있는데요.... 한쪽에서만 몰아서 사용하고 싶은데 혜택만 봐서는 국민 노리 체크카드 인거 같은데 개인적으로 신한은행이 시스템이나 ui 같은면에서도 신한은행이 나은거 같거든요? 국민 노리 체크카드, 신한 쏠 딥 드림 카드 추천좀 해주세요!!!"
24,"현재 신한 레이디스 카드 사용자입니다.

신한 카드 중 피피 되는 더 클래식 플러스  카드나

기업은행 블리스 5 카드 또는 국민 베브 카드로 바꾸려고 합니다.

조건 좋은 곳으로 바꾸려고 하오니 상담사 분들은 연락주시면 감사하겠습니다.~"
25,"저도 설계사가 되고 싶습니다.
접근 방법을 모르겠습니다 어디서 어떻게 지원해야하는지..
좀 알려주실 선배님들 계신가요.."
26,"이번에 새차를 사게되서 알아보던중에 오토 캐시백이라는게 있던데

국민카드나 신한카드 신규로 발급받으려고 하는데요

차량 가격은 3900만원정도 되구요

1. 카드는 만들때 아무카드나 만들어도 되는지, 설계사한테 만들면 되는지

2. 카드사마다 오토 캐시백 혜택이 어떤지(캐시백, 포인트적립)

3. 카드를 신규로 만들시에 캐시백 절차가 어떻게 되는지

궁금하네요~"
27,"국민,농협,신한 카드와 통장을 가지고 있습니다. 한도를 늘리고 싶은데요. 제가 생일이 지나지 않은 스무살이라 불가능 할까요? 새로 카드를 만들 때 한도 설정을 하면 가능한가요? 제가 한도를 꼭 늘려야하는 사정이 있는데 어떻게 할 방법이 없을까요? 방법을 알고 싶습니다"
28,"현대카드, 신한카드, 삼성카드, 국민카드.

주유소 할인 및 적립 '많이', '잘되는' ""신용카드"" 추천 해주세요."
29,신한카드문의. 제가 국민카드한도가500인대 한도를이번달초에다써서 아직 결제일이안되어서 입금은안했는대 타사 신한카드가 정지되었어요 미납금또는연체도하나었구 국민도결제일이매달1일이라4월1일결제인대 왜쓰지도안은 신한카드가정지되었는대 해제하려면어찌해야되나요
30,"신한카드 Love Platinum #와 국민카드 국민카드 탄탄대로 올쇼핑 비교
어떤걸 쓰는게 이득인지 각 신용카드의 혜택은 무엇인지 상세히 부탁드려요

신한카드 Love Platinum # 온라인쇼핑몰(11번가 옥션 G마켓등등)에서도 할인 받을수있나요?"
31,신한카드건만 질문받나요?? 국민은행카드로 질문할게있는데 가능할까요?
32,국민.현대.신한카드사 카드론이용하려면 신규발급후 몇개월뒤부터가능한가요? 신용문제는없는데 카드론이용금액이 전혀안뜨네요 발급은 2018년 10월에 받았어요 답변부탁드립니다.
33,"신한카드 국민카드 우리캐피탈 1000만원씩 채무가있는데요
사정상몇년되었구요...
국민카드는 채무감면으로 300정도 만 납부하라고하고요
신한도 얘기는없지만 쇼부 가능으로보이는데 우리캐피탈은 오래된 채무에대해 채무감면제도가 있는지 궁금합니다"
