,content
25,"저번달(9월) 체크카드로 총 34,5770원 사용했고요

사진에서 보이다 시피 10/1일 새벽에 위메프에서 카카오

페이 간편결제한후 새마을금고 선택해서 물건을 결제했어요

근데 할인내역에 내역이 없어유 ㅠㅠ"
26,"새마을금고 카카오페이 체크카드

제가 내일 연차를 쓰고 새마을금고에 방문할려고 하는데

용돈으로쓸 카카오페이 체크카드를 하나 만들려고합니다


1.체크카드 만들면 당일날 은행에서 카드를 바로 받을수있나요?

2.제 월급통장도 새마을 금고인데 거기서 그 카드에 매달
40만원씩 자동이체 할려고하는데 가능한가요?
카드만있고 계좌는 없는거아니에요??"
27,"제가 새마을금고 카카오페이 체크카드를 잃어버렸는데 정지신청 하려면 어떡하죠..?
폰이랑 연동도 안해놔서 알림도 안떠요,,,"
28,"카카오페이 하나카드 (체크카드)
를 교통카드로도 이용 가능한가요?
후불말고 편의점에서 충전해 쓰는거요.

자세한 답변 부탁합니다."
29,새마을금고 카카오페이 체크카드인데 어느걸 선택해야되나요?
30,"카카오페이 신한카드 체크 만14세 질문입니다
이 카드가 만14세부터 발급이 되고 교통카드기능도 들어가나요? 내공 80"
31,"새마을금고카카오페이 체크카드를 등록해놓고, 매장에서 직접 카카오페이로 결제했는데 체크카드로 결제된게아니라 예전에 계좌등록해놓은 우리은행계좌에서 바로 출금됐어요. 새마을금고는 계좌는 등록안하고 체크카드만 등록해서 그런가요? 카카오페이에서 체크카드로 결제하려면 어떻게 해야하나요? 새마을금고 체크카드로 카카오페이 결제하면 15%할인해준대서 한번 써보려구요. 내공100점드려요"
32,"일단 9월 30만원 사용해서 통합할인한도 1만원 생겼고요



10/1 위메프에서 카카오간편결제로 158,900원 결제함
10/2 그러나 배송지연으로 당일 오전 결제 취소함

10/2 티몬에서 오후에 다시 카카오 간편 결제 16,3500 다른 상품으로 결제


10/3 158,900결제 캐시백 1만원 입금
10/5 그러나 158,900결제 취소해서 캐시백 1만원 회수해감 ㅠㅠ




회수해간 캐시백 ㅠㅠ 언제 다시 들어오나요?

캐시백 회수 해가도 10/2일에 163,500원 결제건으로 캐시백 1만원 들어와야 하는게 정상 아닌가요???

안들어 오네요 ㅠㅠ




사진도 첨부 합니다!"
33,제가 카카오페이 체크카드 새마을금고 발급받을려고 하는데 새마을금고만 없어서 어떻게하나요..??
34,"1.MG 새마을금고 카카오 체크카드는 사용시 새마을금고 내 연결된 계좌에서 돈이 지불되는 형식인가요?

2.카카오페이 체크카드는 사용시 카카오톡 페이머니 라는 곳에 돈이 있어야 쓸수 있나요? 아니면 페이머니에 돈이 없어도 연결된 계좌에서 돈이 지불되나요?(참고로 연결계좌는 MG 새마을금고 카카오 체크카드와 동일한 계좌입니다.)

3.카카오페이로 결제 한다는 말이 뭔가요? 카카오톡 어플에 있는 페이머니란에 결제라는 버튼이 있던데 그걸로 결제 하는건가요? 아니면 카카오페이 체크카드로 결제해도 카카오페이 결제가 되는건가요(카카오페이 결제시 가맹점에서 15프로 할인을 받고 싶습니다.)"
