,link
29,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=341370586&qb=7ZiE64yA7Lm065OcIO2YhOq4iOyngOybkA==&enc=utf8&section=kin.qna&rank=30&search_sort=0&spq=0
30,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=327195236&qb=7ZiE64yA7Lm065OcIO2YhOq4iOyngOybkA==&enc=utf8&section=kin.qna&rank=31&search_sort=0&spq=0
31,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=330482090&qb=7ZiE64yA7Lm065OcIO2YhOq4iOyngOybkA==&enc=utf8&section=kin.qna&rank=32&search_sort=0&spq=0
32,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=323585196&qb=7ZiE64yA7Lm065OcIO2YhOq4iOyngOybkA==&enc=utf8&section=kin.qna&rank=33&search_sort=0&spq=0
33,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=327614736&qb=7ZiE64yA7Lm065OcIO2YhOq4iOyngOybkA==&enc=utf8&section=kin.qna&rank=34&search_sort=0&spq=0
34,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=323011469&qb=7ZiE64yA7Lm065OcIO2YhOq4iOyngOybkA==&enc=utf8&section=kin.qna&rank=35&search_sort=0&spq=0
35,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=336009133&qb=7ZiE64yA7Lm065OcIO2YhOq4iOyngOybkA==&enc=utf8&section=kin.qna&rank=36&search_sort=0&spq=0
36,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110705&docId=321641868&qb=7ZiE64yA7Lm065OcIO2YhOq4iOyngOybkA==&enc=utf8&section=kin.qna&rank=37&search_sort=0&spq=0
37,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=323421245&qb=7ZiE64yA7Lm065OcIO2YhOq4iOyngOybkA==&enc=utf8&section=kin.qna&rank=38&search_sort=0&spq=0
38,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=1128&docId=322671278&qb=7ZiE64yA7Lm065OcIO2YhOq4iOyngOybkA==&enc=utf8&section=kin.qna&rank=39&search_sort=0&spq=0
