,link
29,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=323874754&qb=7IK87ISx7Lm065OcIOuniOydvOumrOyngA==&enc=utf8&section=kin.qna&rank=30&search_sort=0&spq=0
30,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=334367608&qb=7IK87ISx7Lm065OcIOuniOydvOumrOyngA==&enc=utf8&section=kin.qna&rank=31&search_sort=0&spq=0
31,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=320669540&qb=7IK87ISx7Lm065OcIOuniOydvOumrOyngA==&enc=utf8&section=kin.qna&rank=32&search_sort=0&spq=0
32,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=318610021&qb=7IK87ISx7Lm065OcIOuniOydvOumrOyngA==&enc=utf8&section=kin.qna&rank=33&search_sort=0&spq=0
33,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=324527479&qb=7IK87ISx7Lm065OcIOuniOydvOumrOyngA==&enc=utf8&section=kin.qna&rank=34&search_sort=0&spq=0
34,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=320085122&qb=7IK87ISx7Lm065OcIOuniOydvOumrOyngA==&enc=utf8&section=kin.qna&rank=35&search_sort=0&spq=0
35,https://kin.naver.com/qna/detail.nhn?d1id=5&dirId=50704&docId=320906066&qb=7IK87ISx7Lm065OcIOuniOydvOumrOyngA==&enc=utf8&section=kin.qna&rank=36&search_sort=0&spq=0
36,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=319567240&qb=7IK87ISx7Lm065OcIOuniOydvOumrOyngA==&enc=utf8&section=kin.qna&rank=37&search_sort=0&spq=0
37,https://kin.naver.com/qna/detail.nhn?d1id=9&dirId=90207&docId=324875895&qb=7IK87ISx7Lm065OcIOuniOydvOumrOyngA==&enc=utf8&section=kin.qna&rank=38&search_sort=0&spq=0
38,https://kin.naver.com/qna/detail.nhn?d1id=8&dirId=81205&docId=323139550&qb=7IK87ISx7Lm065OcIOuniOydvOumrOyngA==&enc=utf8&section=kin.qna&rank=39&search_sort=0&spq=0
39,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=326511196&qb=7IK87ISx7Lm065OcIOuniOydvOumrOyngA==&enc=utf8&section=kin.qna&rank=40&search_sort=0&spq=0
40,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=320657040&qb=7IK87ISx7Lm065OcIOuniOydvOumrOyngA==&enc=utf8&section=kin.qna&rank=41&search_sort=0&spq=0
