,link
30,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=323626134&qb=7Iug7ZWc7Lm065Oc65Sl65Oc66a8&enc=utf8&section=kin.qna&rank=31&search_sort=0&spq=0
31,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=338763060&qb=7Iug7ZWc7Lm065Oc65Sl65Oc66a8&enc=utf8&section=kin.qna&rank=32&search_sort=0&spq=0
32,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=325007705&qb=7Iug7ZWc7Lm065Oc65Sl65Oc66a8&enc=utf8&section=kin.qna&rank=33&search_sort=0&spq=0
33,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=338900043&qb=7Iug7ZWc7Lm065Oc65Sl65Oc66a8&enc=utf8&section=kin.qna&rank=34&search_sort=0&spq=0
34,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=327960645&qb=7Iug7ZWc7Lm065Oc65Sl65Oc66a8&enc=utf8&section=kin.qna&rank=35&search_sort=0&spq=0
35,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=321191490&qb=7Iug7ZWc7Lm065Oc65Sl65Oc66a8&enc=utf8&section=kin.qna&rank=36&search_sort=0&spq=0
36,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=326829788&qb=7Iug7ZWc7Lm065Oc65Sl65Oc66a8&enc=utf8&section=kin.qna&rank=37&search_sort=0&spq=0
37,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=323528778&qb=7Iug7ZWc7Lm065Oc65Sl65Oc66a8&enc=utf8&section=kin.qna&rank=38&search_sort=0&spq=0
38,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=327182627&qb=7Iug7ZWc7Lm065Oc65Sl65Oc66a8&enc=utf8&section=kin.qna&rank=39&search_sort=0&spq=0
39,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=330431584&qb=7Iug7ZWc7Lm065Oc65Sl65Oc66a8&enc=utf8&section=kin.qna&rank=40&search_sort=0&spq=0
40,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=324350164&qb=7Iug7ZWc7Lm065Oc65Sl65Oc66a8&enc=utf8&section=kin.qna&rank=41&search_sort=0&spq=0
