,link
29,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=318542955&qb=6rWt66+87Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=30&search_sort=0&spq=0
30,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=318179227&qb=6rWt66+87Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=31&search_sort=0&spq=0
31,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40107&docId=336343233&qb=6rWt66+87Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=32&search_sort=0&spq=0
32,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=330281559&qb=6rWt66+87Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=33&search_sort=0&spq=0
33,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=321661694&qb=6rWt66+87Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=34&search_sort=0&spq=0
34,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=401&docId=339445144&qb=6rWt66+87Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=35&search_sort=0&spq=0
35,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=343005363&qb=6rWt66+87Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=36&search_sort=0&spq=0
36,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=323276943&qb=6rWt66+87Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=37&search_sort=0&spq=0
37,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=322849754&qb=6rWt66+87Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=38&search_sort=0&spq=0
38,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=325972949&qb=6rWt66+87Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=39&search_sort=0&spq=0
39,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=324037586&qb=6rWt66+87Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=40&search_sort=0&spq=0
40,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40106&docId=328326311&qb=6rWt66+87Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=41&search_sort=0&spq=0
