,link
30,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=322334251&qb=6rWt66+87Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=31&search_sort=0&spq=0
31,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=323006731&qb=6rWt66+87Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=32&search_sort=0&spq=0
32,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=323369756&qb=6rWt66+87Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=33&search_sort=0&spq=0
33,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=324238381&qb=6rWt66+87Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=34&search_sort=0&spq=0
34,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=334919608&qb=6rWt66+87Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=35&search_sort=0&spq=0
35,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=152664476&qb=6rWt66+87Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=36&search_sort=0&spq=0
36,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=321999220&qb=6rWt66+87Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=37&search_sort=0&spq=0
37,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=318462125&qb=6rWt66+87Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=38&search_sort=0&spq=0
38,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=330627840&qb=6rWt66+87Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=39&search_sort=0&spq=0
39,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=322852178&qb=6rWt66+87Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=40&search_sort=0&spq=0
