,link
29,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=410&docId=339142686&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=30&search_sort=0&spq=0
30,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=337312886&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=31&search_sort=0&spq=0
31,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=334687449&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=32&search_sort=0&spq=0
32,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=327243123&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=33&search_sort=0&spq=0
33,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=334791422&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=34&search_sort=0&spq=0
34,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=322659228&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=35&search_sort=0&spq=0
35,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=333943706&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=36&search_sort=0&spq=0
36,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=314535303&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=37&search_sort=0&spq=0
37,https://kin.naver.com/qna/detail.nhn?d1id=1&dirId=107020103&docId=321626082&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=38&search_sort=0&spq=0
38,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=324367058&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=39&search_sort=0&spq=0
39,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=4010503&docId=321244811&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=40&search_sort=0&spq=0
40,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=319613150&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=41&search_sort=0&spq=0
41,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=338238025&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=42&search_sort=0&spq=0
42,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=318340718&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=43&search_sort=0&spq=0
43,https://kin.naver.com/qna/detail.nhn?d1id=6&dirId=6080402&docId=336452620&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=44&search_sort=0&spq=0
44,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=318063370&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=45&search_sort=0&spq=0
45,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=323212161&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=46&search_sort=0&spq=0
46,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=319454728&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=47&search_sort=0&spq=0
47,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=318059760&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=48&search_sort=0&spq=0
48,https://kin.naver.com/qna/detail.nhn?d1id=10&dirId=1001020206&docId=324719467&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=49&search_sort=0&spq=0
