,link
39,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=340648649&qb=7Iug7ZWc7Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=30&search_sort=0&spq=0
40,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=335862917&qb=7Iug7ZWc7Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=21&search_sort=0&spq=0
41,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=337853701&qb=7Iug7ZWc7Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=22&search_sort=0&spq=0
42,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=337038140&qb=7Iug7ZWc7Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=23&search_sort=0&spq=0
43,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=338310704&qb=7Iug7ZWc7Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=24&search_sort=0&spq=0
44,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=333634640&qb=7Iug7ZWc7Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=25&search_sort=0&spq=0
45,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=335590808&qb=7Iug7ZWc7Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=26&search_sort=0&spq=0
46,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=243165412&qb=7Iug7ZWc7Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=27&search_sort=0&spq=0
47,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=334891066&qb=7Iug7ZWc7Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=28&search_sort=0&spq=0
48,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=342666537&qb=7Iug7ZWc7Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=29&search_sort=0&spq=0
49,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=340648649&qb=7Iug7ZWc7Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=30&search_sort=0&spq=0
50,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=335862917&qb=7Iug7ZWc7Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=21&search_sort=0&spq=0
51,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=337853701&qb=7Iug7ZWc7Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=22&search_sort=0&spq=0
52,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=337038140&qb=7Iug7ZWc7Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=23&search_sort=0&spq=0
53,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=338310704&qb=7Iug7ZWc7Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=24&search_sort=0&spq=0
54,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=333634640&qb=7Iug7ZWc7Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=25&search_sort=0&spq=0
