,link
25,https://kin.naver.com/qna/detail.nhn?d1id=1&dirId=1070402&docId=334679562&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyDiOuniOydhOq4iOqzoA==&enc=utf8&section=kin.qna&rank=21&search_sort=0&spq=0
26,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=338203446&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyDiOuniOydhOq4iOqzoA==&enc=utf8&section=kin.qna&rank=22&search_sort=0&spq=0
27,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40107&docId=334865471&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyDiOuniOydhOq4iOqzoA==&enc=utf8&section=kin.qna&rank=23&search_sort=0&spq=0
28,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40107&docId=337812378&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyDiOuniOydhOq4iOqzoA==&enc=utf8&section=kin.qna&rank=24&search_sort=0&spq=0
29,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=4010503&docId=328098258&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyDiOuniOydhOq4iOqzoA==&enc=utf8&section=kin.qna&rank=25&search_sort=0&spq=0
30,https://kin.naver.com/qna/detail.nhn?d1id=1&dirId=1060115&docId=328437816&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyDiOuniOydhOq4iOqzoA==&enc=utf8&section=kin.qna&rank=26&search_sort=0&spq=0
31,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=324043623&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyDiOuniOydhOq4iOqzoA==&enc=utf8&section=kin.qna&rank=27&search_sort=0&spq=0
32,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=336036095&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyDiOuniOydhOq4iOqzoA==&enc=utf8&section=kin.qna&rank=28&search_sort=0&spq=0
33,https://kin.naver.com/qna/detail.nhn?d1id=1&dirId=1060115&docId=343662554&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyDiOuniOydhOq4iOqzoA==&enc=utf8&section=kin.qna&rank=29&search_sort=0&spq=0
34,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=337884260&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyDiOuniOydhOq4iOqzoA==&enc=utf8&section=kin.qna&rank=30&search_sort=0&spq=0
